Measurement,Date,ID,Block,Ramet,Photo,,Obs,HHMMSS,FTime,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status,,,
Initial,22-Sep,FR12    ,2,a                                     ,-8.44,,29,13:45:38,3575.5,-0.00101,-1.26E+04,-0.0322,3.09,2.3,1,4.46,24.7,24.28,24.65,400.46,404.35,-0.49,-0.504,-1.55,-1.59,500.6,399,0,98.74,0.741,-0.0415,1,111115,,,
Final,25-Sep,FR12    ,2,a                                     ,20.6,,16,13:31:08,2465,0.0917,33.5,3.06,3.27,2.3,1,4.46,27.58,26.37,27.56,421.31,411.24,0.431,1.839,1.14,4.85,499.6,400,0,97.74,-5.23,0.107,1,111115,,,
Initial,25-Oct,FR12    ,13,c                                     ,15.7,,31,12:41:02,3355,0.0318,-384,0.888,2.74,2.3,1,4.46,23.07,22.57,23.03,419.74,412.34,-0.325,0.084,-1.13,0.29,499.7,400,1,98.73,-9.69,0.0837,1,111115,FR12    ,,
Final,28-Oct,FR12    ,13,c                                     ,11.1,,9,11:41:14,1616,0.0451,6.61,1.38,2.96,2.3,1,4.46,24.79,24.42,24.68,420.2,414.81,0.484,1.117,1.5,3.47,499.7,401,1,97.7,-8.8,0.0808,1,111115,FR12    ,,
Initial,31-Oct,FR12    ,19,d                                     ,29,,26,12:35:42,3196,0.167,109,4.12,2.49,2.3,1,4.46,23.32,22.28,23.25,419.5,405.38,0.275,2.166,0.95,7.44,499.8,401,0,98.83,-8.96,0.0883,0.7,111115,FR12    ,,
Final,3-Nov,FR12    ,19,d                                     ,18.6,,12,11:55:15,2544,0.121,151,2.65,2.2,2.3,1,4.46,20.71,19.74,20.69,420.99,411.94,-0.101,1.118,-0.41,4.52,499.3,400,0,99.2,-9.31,0.104,0.7,111115,FR12    ,,
Initial,6-Nov,FR12    ,21,e                                     ,8.23,,25,14:13:17,4084.5,0.0561,165,1.57,2.73,2.3,1,4.46,23.67,23.17,23.61,419.61,415.52,0.481,1.202,1.6,4.01,499.7,399,1,97.91,-10,0.103,1,111115,FR12    ,,
Final,9-Nov,FR12    ,21,e                                     ,3.32,,13,16:47:34,1583.5,0.028,213,0.812,2.84,2.3,1,4.46,23.59,23.39,23.5,419.61,417.93,0.113,0.487,0.38,1.65,499.7,400,1,98.79,-8.59,0.0803,0.7,111115,FR12    ,,
Initial,22-Sep,FR2     ,2,a                                     ,0.211,,28,13:43:16,3433.5,0.0277,367,0.853,3.01,2.3,1,4.46,24.69,24.04,24.64,398.76,398.51,-0.475,-0.083,-1.5,-0.26,500.6,401,0,98.75,0.741,-0.0415,1,111115,,,
Final,25-Sep,FR2     ,2,a                                     ,9.77,,22,13:47:10,3426.5,0.0099,-1.15E+03,0.329,3.2,2.3,1,4.46,25.87,25.11,25.87,419.99,415.43,-0.139,0.012,-0.41,0.03,499.7,399,0,97.72,-5.23,0.107,0.7,111115,,,
Initial,16-Oct,FR2     ,10,b                                     ,12.3,,37,13:42:38,5081.5,0.0566,50.4,1.92,3.31,2.3,1,4.46,27.04,26.42,27.02,419.83,413.82,0.591,1.473,1.62,4.03,499.6,400,1,98.24,-10.3,0.102,0.7,111115,FR2     ,,
Final,19-Oct,FR2     ,10,b                                     ,13.4,,13,14:09:31,1200,0.0387,-151,1.2,3.01,2.3,1,4.46,24.97,24.41,24.91,419.88,413.49,0.033,0.584,0.1,1.8,499.7,399,1,98.11,-8.9,0.105,0.7,111115,FR2     ,,
Initial,25-Oct,FR2     ,14,c                                     ,9.44,,34,12:46:25,3677.5,0.0329,-54.8,0.885,2.64,2.3,1,4.46,22.63,21.94,22.63,419.62,415.11,-0.384,0.023,-1.38,0.08,499.7,400,1,98.73,-9.69,0.0837,1,111115,FR2     ,,
Final,28-Oct,FR2     ,14,c                                     ,7.44,,11,11:45:38,1880,0.0424,120,1.31,2.99,2.3,1,4.46,25.1,24.62,25.02,420.21,416.54,0.586,1.188,1.79,3.63,499.7,400,1,97.7,-8.8,0.0808,1,111115,FR2     ,,
Initial,16-Oct,FR2     ,16,d                                     ,12.6,,41,13:49:10,5473.5,0.0354,-168,1.22,3.36,2.3,1,4.46,27.08,26.47,27.06,419.83,413.79,0.519,1.082,1.42,2.95,499.7,399,1,98.23,-10.3,0.102,0.7,111115,FR2     ,,
Final,19-Oct,FR2     ,16,d                                     ,7.68,,18,14:16:34,1623.5,0.0293,-15.8,0.915,3.03,2.3,1,4.46,24.94,24.46,24.9,419.85,416.14,0.051,0.472,0.16,1.46,499.7,399,0,98.11,-8.9,0.105,0.7,111115,FR2     ,,
Initial,10-Oct,FR6     ,5,a                                     ,5.91,,37,11:29:32,4484.5,0.167,338,5.26,3.07,2.3,1,4.46,28.26,26.72,28.29,420.07,416.34,2.28,4.69,5.69,11.7,499.7,400,1,96.12,-1.76,0.329,0.7,111115,,,
Final,13-Oct,FR6     ,5,a                                     ,16.2,,16,12:10:09,2243.5,0.0384,-272,1.38,3.43,2.3,1,4.46,27.59,27,27.55,420.56,412.83,0.91,1.544,2.37,4.03,499.8,401,1,96.59,-8.64,0.13,0.7,111115,FR6     ,FR6     ,5
Initial,28-Sep,FR6     ,10,b                                     ,25.9,,36,15:11:06,3971,0.108,2,3.55,3.22,2.3,1,4.46,27.5,26.75,27.44,418.77,406.17,1.489,3.119,3.93,8.23,499.7,399,0,97.28,-5.96,0.0747,0.7,111115,,,
Final,1-Oct,FR6     ,10,b                                     ,10.5,,11,13:45:18,1004.5,0.0494,60.1,1.43,2.83,2.3,1,4.46,24.49,23.92,24.38,420.75,415.62,0.892,1.548,2.85,4.94,499.7,399,0,98.35,-6.88,0.141,0.7,111115,FR6     ,10,b                                     
Initial,28-Oct,FR6     ,15,c                                     ,5.91,,24,12:28:16,4438,0.0358,136,1.13,3.06,2.3,1,4.46,25.42,24.95,25.39,419.27,416.33,0.597,1.117,1.79,3.35,499.7,401,1,97.76,-9.26,0.11,1,111115,FR6     ,,
Final,31-Oct,FR6     ,15,c                                     ,17,,10,11:58:09,943,0.0868,83,2.22,2.54,2.3,1,4.46,22.74,22.14,22.67,420.13,411.88,0.31,1.332,1.1,4.74,499.7,399,0,98.83,-8.96,0.0883,0.7,111115,FR6     ,,
Initial,10-Oct,FR8     ,5,a                                     ,25.4,,42,11:41:39,5212,0.238,213,7.01,2.92,2.3,1,4.46,28.22,26.36,28.25,419.89,406.88,2.299,5.506,5.75,13.77,499.6,400,1,96.12,-1.76,0.329,0.7,111115,,,
Final,13-Oct,FR8     ,5,a                                     ,35,,22,12:17:55,2708.5,0.159,27.2,5.09,3.14,2.3,1,4.46,27.76,26.43,27.74,418.39,401.36,0.974,3.31,2.51,8.54,499.8,399,1,96.57,-8.64,0.13,0.7,111115,FR8     ,FR8     ,5
Initial,28-Sep,FR8     ,9,b                                     ,27.3,,44,15:25:16,4821.5,0.161,113,4.91,3.02,2.3,1,4.46,27.79,26.09,27.71,419.61,406.14,1.59,3.839,4.12,9.96,499.6,401,0,97.27,-5.96,0.0747,0.7,111115,,,
Final,1-Oct,FR8     ,9,b                                     ,22.7,,18,13:54:12,1538.5,0.0938,5.51,2.64,2.78,2.3,1,4.46,25.06,24.09,24.97,420.02,409.08,1.088,2.302,3.35,7.09,499.7,401,0,98.35,-6.88,0.141,0.7,111115,FR8     ,9,b                                     
Initial,19-Oct,FR8     ,18,d                                     ,17,,40,14:46:11,3400.5,0.103,129,3.03,2.91,2.3,1,4.46,25.31,24.35,25.27,419.76,411.38,0.149,1.54,0.45,4.66,499.7,399,1,98.1,-8.9,0.105,1,111115,FR8     ,,
Final,22-Oct,FR8     ,18,d                                     ,18.7,,20,14:05:52,2120.5,0.074,-8.42,2.11,2.82,2.3,1,4.46,24.06,23.5,24.02,418.85,409.87,-0.08,0.892,-0.26,2.93,499.7,400,1,98.62,-9.36,0.0288,0.7,111115,FR8     ,,
Initial,22-Sep,OP1     ,1,a                                     ,2.5,,25,13:37:14,3071,0.0232,211,0.715,3.01,2.3,1,4.46,24.7,24.03,24.67,400.46,399.18,-0.423,-0.094,-1.34,-0.3,500.6,401,0,98.76,0.741,-0.0415,0.7,111115,,,
Final,25-Sep,OP1     ,1,a                                     ,13.3,,18,13:36:28,2784.5,0.022,-552,0.748,3.28,2.3,1,4.46,26.86,25.82,26.87,419.31,413.06,0.245,0.589,0.67,1.62,499.7,400,0,97.74,-5.23,0.107,0.7,111115,,,
Initial,1-Oct,OP1     ,7,b                                     ,27.6,,41,14:32:16,3823.5,0.153,97.6,4.13,2.7,2.3,1,4.46,25.61,24.26,25.57,419.85,406.36,1.558,3.453,4.64,10.3,499.7,400,0,98.33,-6.88,0.141,0.7,111115,OP1     ,7,b                                     
Final,4-Oct,OP1     ,7,b                                     ,24.4,,19,12:30:08,1993,0.0564,-295,2.19,3.8,2.3,1,4.46,30.02,29.1,30.02,419.12,407.49,1.535,2.542,3.54,5.87,499.7,400,101,98.49,-8.45,0.0825,0.3,111115,,,
Initial,22-Oct,OP1     ,12,c                                     ,10.7,,40,14:31:59,3687.5,0.0412,-13.7,1.21,2.88,2.3,1,4.46,24.19,23.53,24.18,420.33,415.17,-0.203,0.353,-0.66,1.15,499.7,399,0,98.6,-9.36,0.0288,0.7,111115,OP1     ,,
Final,25-Oct,OP1     ,12,c                                     ,13.1,,15,12:13:28,1701,0.0519,-3.85,1.37,2.6,2.3,1,4.46,22.58,21.9,22.54,420.22,413.91,-0.264,0.367,-0.95,1.32,499.7,399,1,98.72,-9.69,0.0837,0.7,111115,OP1     ,,
Initial,3-Nov,OP1     ,20,d                                     ,6.68,,35,12:34:48,4917,0.0654,239,1.53,2.33,2.3,1,4.46,20.96,20.33,20.91,420.34,416.97,-0.053,0.652,-0.21,2.6,499.8,400,1,99.16,-9.31,0.104,1,111115,OP1     ,,
Final,6-Nov,OP1     ,20,d                                     ,5.45,,11,13:38:22,1989,0.0292,105,0.812,2.7,2.3,1,4.46,23.13,22.7,23.03,419.88,417.21,0.333,0.707,1.15,2.43,499.7,400,1,97.91,-10,0.103,1,111115,OP1     ,,
Initial,16-Sep,OP2,14,c,36.9,,29,12:43:33,3954,0.193,56.1,5.08,2.61,2.3,1,4.46,26.29,25.45,26.3,401.34,383.46,4.462,6.785,12.58,19.13,499.7,401,0,96.79,-4.06,0.14,0.7,111115,,,
Initial,10-Oct,OP2     ,5,a                                     ,17.5,,36,11:27:24,4357,0.106,126,3.52,3.21,2.3,1,4.46,28.31,27.02,28.32,420.13,411.4,2.268,3.883,5.64,9.66,499.7,400,0,96.12,-1.76,0.329,0.7,111115,,,
Final,13-Oct,OP2     ,5,a                                     ,21,,15,12:08:43,2157.5,0.0556,-207,1.93,3.33,2.3,1,4.46,27.54,26.62,27.51,420.96,410.91,0.891,1.778,2.33,4.65,499.7,399,1,96.56,-8.64,0.13,1,111115,OP2     ,OP2     ,5
Initial,1-Oct,OP2     ,7,b                                     ,35.1,,36,14:24:48,3375,0.227,133,5.83,2.61,2.3,1,4.46,25.5,24.15,25.45,419.81,402.59,1.479,4.154,4.44,12.47,499.7,400,0,98.34,-6.88,0.141,0.7,111115,OP2     ,7,b                                     
Final,4-Oct,OP2     ,7,b                                     ,19.2,,16,12:25:18,1703,0.021,-1.04E+03,0.825,3.81,2.3,1,4.46,29.64,28.88,29.63,419.2,410.21,1.491,1.87,3.52,4.41,499.7,400,90,98.49,-8.45,0.0825,1,111115,,,
Final,19-Sep,OP2     ,14,c                                     ,19,,17,12:26:42,2622,0.0909,39.6,2.97,3.16,2.3,1,4.46,28.03,27.02,27.98,400.02,390.76,3.013,4.372,7.68,11.15,499.6,400,0,96.92,0.428,0.0224,0.7,111115,,,
Initial,3-Nov,OP2     ,20,d                                     ,22.3,,31,12:27:25,4474.5,0.112,73.8,2.61,2.35,2.3,1,4.46,21.47,20.76,21.39,420.44,409.67,-0.061,1.14,-0.23,4.4,499.8,399,1,99.16,-9.31,0.104,0.7,111115,OP2     ,,
Final,6-Nov,OP2     ,20,d                                     ,17,,7,13:28:07,1373.5,0.155,218,3.79,2.43,2.3,1,4.46,22.52,21.86,22.42,419.86,411.31,0.281,2.02,1,7.22,499.8,400,1,97.93,-10,0.103,1,111115,OP2     ,,
Initial,16-Sep,OP3,15,c,11,,28,12:41:06,3807,0.411,333,8.72,2.2,2.3,1,4.46,26.27,24.1,26.28,399.65,392.98,4.423,8.405,12.49,23.73,499.7,401,0,96.79,-4.06,0.14,1,111115,,,
Initial,22-Sep,OP3     ,2,a                                     ,-5.58,,24,13:35:42,2979.5,0.00429,2.41E+03,0.134,3.04,2.3,1,4.46,24.68,24.06,24.65,399.01,401.55,-0.408,-0.346,-1.29,-1.1,500.5,399,1,98.77,0.741,-0.0415,0.7,111115,,,
Final,25-Sep,OP3     ,2,a                                     ,9.45,,19,13:39:07,2943.5,0.00771,-1.52E+03,0.265,3.31,2.3,1,4.46,26.57,25.8,26.57,421.38,416.98,0.154,0.276,0.43,0.77,499.6,400,0,97.73,-5.23,0.107,0.7,111115,,,
Initial,13-Oct,OP3     ,10,b                                     ,20.6,,46,12:51:22,4716.5,0.107,83,3.55,3.21,2.3,1,4.46,27.75,26.46,27.76,421.1,410.93,1.021,2.65,2.63,6.84,499.7,400,1,96.49,-8.64,0.13,0.7,111115,OP3     ,OP3     ,10
Final,16-Oct,OP3     ,10,b                                     ,11.7,,15,14:35:40,1845,0.0919,-90,2.99,3.17,2.3,1,4.46,27.15,26.25,27.04,419.09,405.87,1.248,2.62,3.36,7.06,499.6,401,0,97.36,-5.96,0.0747,0.7,111115,,,
Final,19-Sep,OP3     ,15,c                                     ,3.02,,23,13:13:55,3358.5,0.0164,-720,0.571,3.36,2.3,1,4.46,26.9,26.48,26.86,419.47,413.98,0.85,1.112,2.35,3.07,499.7,399,1,98.22,-10.3,0.102,1,111115,OP3     ,10,b                                     
Final,28-Sep,OP3     ,16,d,27.5,,16,12:24:23,2482.5,0.0344,237,1.2,3.33,2.3,1,4.46,28.07,27.43,28.01,398.4,396.79,3.007,3.556,7.65,9.04,499.7,400,0,96.91,0.428,0.0224,1,111115,,,
Initial,25-Sep,OP3     ,16,d                                     ,22,,39,14:21:22,5478.5,0.0882,-6.12,2.6,2.89,2.3,1,4.46,24.87,23.67,24.83,420.1,409.48,-0.761,0.436,-2.36,1.35,499.7,400,0,97.69,-3.24,0.122,1,111115,,,
Final,16-Oct,OP4 ,8,b                                     ,13.6,,12,12:48:58,1861.5,0.0435,-100,1.42,3.18,2.3,1,4.46,26.25,25.77,26.18,419.48,412.94,0.896,1.548,2.57,4.44,499.6,399,1,98.23,-10.3,0.102,0.7,111115,OP11    ,8,b                                     
Initial,22-Sep,OP4     ,1,a                                     ,3.79,,34,13:54:27,4105,0.0258,150,0.793,3,2.3,1,4.46,24.68,23.96,24.63,401.4,399.51,-0.537,-0.173,-1.7,-0.55,500.6,399,0,98.72,0.741,-0.0415,1,111115,,,
Final,25-Sep,OP4     ,1,a                                     ,20.7,,21,13:45:22,3318.5,0.0445,-341,1.44,3.14,2.3,1,4.46,25.99,25.08,26,419.9,410.11,-0.08,0.582,-0.23,1.69,499.7,401,0,97.73,-5.23,0.107,0.7,111115,,,
Initial,19-Sep,OP4     ,11,c                                     ,13.2,,47,13:35:03,6722.5,0.0385,-166,1.36,3.39,2.3,1,4.46,28.26,27.73,28.18,400.52,394.19,2.985,3.609,7.51,9.08,499.6,399,0,96.89,-3.38,0.241,0.7,111115,,,
Final,22-Sep,OP4     ,11,c                                     ,0.295,,9,13:03:34,1051,0.0216,359,0.681,3.08,2.3,1,4.46,25.38,24.59,25.37,400.31,400.05,-0.039,0.274,-0.12,0.83,499.8,400,0,98.82,0.741,-0.0415,1,111115,,,
Initial,25-Sep,OP4     ,18,d                                     ,18.8,,43,14:28:48,5924.5,0.131,162,3.69,2.79,2.3,1,4.46,24.68,23.32,24.65,420.16,410.83,-0.861,0.834,-2.7,2.61,499.7,468,0,97.68,-3.24,0.122,1,111115,,,
Initial,22-Sep,OP5     ,1,a                                     ,11.7,,32,13:50:59,3897,0.0599,66.3,1.78,2.94,2.3,1,4.46,24.69,23.83,24.65,399.53,393.83,-0.519,0.3,-1.64,0.95,500.6,400,0,98.73,0.741,-0.0415,0.7,111115,,,
Final,25-Sep,OP5     ,1,a                                     ,5.6,,17,13:33:31,2607.5,0.0174,-106,0.611,3.38,2.3,1,4.46,27.22,26.31,27.23,421.29,418.59,0.345,0.626,0.93,1.69,499.7,401,0,97.73,-5.23,0.107,0.7,111115,,,
Initial,16-Oct,OP5     ,10,b                                     ,23.7,,36,13:40:50,4974,0.0521,-329,1.76,3.29,2.3,1,4.46,27.03,26.25,27.01,419.95,408.69,0.612,1.419,1.68,3.89,499.6,400,1,98.24,-10.3,0.102,0.7,111115,OP5     ,,
Final,19-Oct,OP5     ,10,b                                     ,11.2,,14,14:11:07,1296,0.0324,-148,1.02,3.05,2.3,1,4.46,24.99,24.58,24.93,419.87,414.54,0.041,0.508,0.13,1.57,499.7,399,1,98.1,-8.9,0.105,0.7,111115,OP5     ,,
Initial,22-Oct,OP5     ,12,c                                     ,4.42,,43,14:35:40,3909.5,0.0138,-104,0.426,3.01,2.3,1,4.46,24.47,24.09,24.39,420.55,418.44,-0.209,-0.013,-0.67,-0.04,499.7,400,1,98.6,-9.36,0.0288,0.7,111115,OP5     ,,
Final,25-Oct,OP5     ,12,c                                     ,8.75,,18,12:18:47,2019.5,0.0451,92,1.2,2.62,2.3,1,4.46,22.58,21.94,22.54,420.22,415.97,-0.311,0.241,-1.12,0.87,499.8,399,1,98.72,-9.69,0.0837,1,111115,OP5     ,,
Initial,25-Sep,OP5     ,18,d                                     ,27.2,,46,14:36:45,6401,0.0997,-45.6,2.83,2.8,2.3,1,4.46,24.56,23.06,24.52,420.33,407.29,-0.952,0.352,-3,1.11,499.7,400,0,97.66,-3.24,0.122,0.7,111115,,,
Final,28-Sep,OP5     ,18,d                                     ,9.62,,20,14:43:42,2327.5,0.0409,24.2,1.39,3.27,2.3,1,4.46,27.22,26.41,27.14,420.1,415.4,1.322,1.959,3.55,5.26,499.7,399,0,97.32,-5.96,0.0747,0.7,111115,,,
Initial,16-Sep,OP6,13,c,17.8,,34,12:53:20,4540.5,0.0474,-221,1.4,2.83,2.3,1,4.46,26.5,25.8,26.49,399.58,391.12,4.605,5.244,12.82,14.6,499.7,400,0,96.8,-4.06,0.14,1,111115,,,
Initial,10-Oct,OP6     ,5,a                                     ,18.8,,44,11:46:06,5479,0.11,117,3.66,3.21,2.3,1,4.46,28.21,27.05,28.24,419.65,410.3,2.315,3.992,5.79,9.99,499.7,399,0,96.12,-1.76,0.329,0.7,111115,,,
Final,13-Oct,OP6     ,5,a                                     ,22.8,,21,12:16:41,2635,0.0238,-1.11E+03,0.861,3.45,2.3,1,4.46,27.74,27.02,27.72,421.1,410.46,0.96,1.356,2.48,3.5,499.6,401,0,96.53,-8.64,0.13,0.7,111115,OP6     ,OP6     ,5
Initial,1-Oct,OP6     ,6,b                                     ,29.9,,42,14:34:09,3936.5,0.142,51.1,3.86,2.71,2.3,1,4.46,25.63,24.25,25.59,421.93,407.43,1.574,3.346,4.69,9.97,499.7,400,0,98.33,-6.88,0.141,0.7,111115,OP6     ,6,b                                     
Final,4-Oct,OP6     ,6,b                                     ,24.5,,22,12:34:40,2264.5,0.0428,-513,1.72,3.9,2.3,1,4.46,30.42,29.46,30.44,419.22,407.61,1.543,2.333,3.48,5.26,499.7,401,34,98.49,-8.45,0.0825,0.7,111115,,,
Final,19-Sep,OP6     ,13,c                                     ,13.7,,22,12:37:18,3258,0.0569,-8.11,1.95,3.29,2.3,1,4.46,27.91,27.39,27.85,399.94,393.26,2.98,3.873,7.65,9.94,499.7,399,0,96.91,0.428,0.0224,0.7,111115,,,
Initial,3-Nov,OP6     ,20,d                                     ,19.1,,32,12:29:41,4610,0.0905,58.2,2.09,2.31,2.3,1,4.46,21.26,20.33,21.24,420.33,411.13,-0.053,0.907,-0.21,3.54,499.7,401,0,99.16,-9.31,0.104,1,111115,OP6     ,,
Final,6-Nov,OP6     ,20,d                                     ,6.58,,8,13:32:49,1656,0.0493,188,1.31,2.6,2.3,1,4.46,22.82,22.2,22.71,419.78,416.51,0.304,0.907,1.07,3.19,499.7,400,1,97.92,-10,0.103,1,111115,OP6     ,,
Initial,16-Sep,OP7,14,c,13.3,,32,12:49:05,4286,0.0553,-4.91,1.63,2.83,2.3,1,4.46,26.43,25.85,26.41,399.67,393.24,4.551,5.298,12.73,14.82,499.6,400,0,96.8,-4.06,0.14,1,111115,,,
Initial,7-Oct,OP7     ,4,a                                     ,21.5,,41,12:40:48,6004.5,0.0858,-8.12,2.58,2.95,2.3,1,4.46,26.19,25.41,26.14,420.11,409.71,1.91,3.094,5.49,8.9,499.7,399,1,98.18,-7.01,0.116,0.7,111115,,,
Final,10-Oct,OP7     ,4,a                                     ,33.1,,16,10:41:06,1578,0.126,-36.9,4.05,3.12,2.3,1,4.46,27.59,26.47,27.54,420.32,404.34,1.732,3.59,4.49,9.31,499.6,400,1,96.11,-8.78,0.194,0.7,111115,,,
Final,1-Oct,OP7     ,10,b                                     ,30.2,,21,13:59:01,1828,0.0471,-621,1.42,2.95,2.3,1,4.46,25.37,24.75,25.26,421.49,407.34,1.204,1.857,3.64,5.62,499.7,400,0,98.35,-6.88,0.141,0.7,111115,OP7     ,10,b                                     
Final,19-Sep,OP7     ,14,c                                     ,2.12,,21,12:34:43,3102.5,0.0562,319,1.85,3.17,2.3,1,4.46,27.9,26.81,27.86,399.89,398.58,2.984,3.834,7.67,9.85,499.6,400,0,96.91,0.428,0.0224,0.7,111115,,,
Initial,31-Oct,OP7     ,20,d,6.2,,14,12:09:08,1602,0.0168,-180,0.499,2.9,2.3,1,4.46,23.9,23.83,23.74,420.22,417.27,0.43,0.66,1.43,2.19,499.7,400,1,98.83,-8.96,0.0883,1,111115,OP7     ,,
Final,3-Nov,OP7     ,20,d                                     ,5.97,,1,11:27:29,878,0.0223,-20.4,0.547,2.42,2.3,1,4.46,20.68,20.65,20.46,420.61,417.76,0.022,0.274,0.09,1.11,499.7,399,1,99.19,-9.31,0.104,1,111115,OP7     ,,
Initial,4-Oct,OP8     ,3,a                                     ,25,,35,12:58:27,3692.5,0.0447,-492,1.77,3.85,2.3,1,4.46,30.33,28.99,30.42,419.18,407.36,0.936,1.747,2.12,3.96,499.7,400,88,98.47,-8.45,0.0825,0.3,111115,,,
Initial,13-Oct,OP8     ,7,b                                     ,23.8,,41,12:44:04,4278,0.0824,-69,2.82,3.3,2.3,1,4.46,27.78,26.73,27.81,421.2,409.73,1.035,2.33,2.67,6,499.6,401,0,96.51,-8.64,0.13,0.7,111115,OP8     ,OP8     ,7
Final,16-Oct,OP8     ,8,b                                     ,12.9,,21,13:09:41,3104.5,0.0266,-369,0.907,3.31,2.3,1,4.46,26.81,26.31,26.77,419.4,413.28,0.886,1.302,2.46,3.61,499.7,400,0,98.22,-10.3,0.102,1,111115,OP8     ,8,b                                     
Initial,25-Oct,OP8     ,14,c                                     ,18.8,,33,12:44:35,3567.5,0.0793,16.4,2.05,2.56,2.3,1,4.46,22.74,21.78,22.76,419.52,410.48,-0.362,0.58,-1.29,2.06,499.7,400,1,98.73,-9.69,0.0837,0.7,111115,OP8     ,,
Final,28-Oct,OP8     ,14,c                                     ,5.01,,7,11:37:31,1392,0.025,83.2,0.76,2.94,2.3,1,4.46,24.45,24.09,24.37,420.15,417.7,0.41,0.759,1.3,2.41,499.7,399,1,97.69,-8.8,0.0808,1,111115,OP8     ,,
Initial,25-Sep,OP8     ,17,d                                     ,17.3,,49,14:42:38,6754,0.0499,-158,1.52,2.96,2.3,1,4.46,24.55,23.66,24.5,418.69,410.42,-0.993,-0.293,-3.13,-0.92,499.7,399,0,97.65,-3.24,0.122,0.7,111115,,,
Final,28-Sep,OP8     ,17,d                                     ,12.1,,24,14:49:49,2694.5,0.0744,136,2.46,3.22,2.3,1,4.46,27.3,26.41,27.21,420.08,414.06,1.359,2.491,3.63,6.65,499.6,399,0,97.31,-5.96,0.0747,0.7,111115,,,
Initial,16-Sep,OP9,13,c,12.9,,37,12:59:33,4913.5,0.0375,-166,1.13,2.89,2.3,1,4.46,26.6,26.1,26.59,399.46,393.33,4.681,5.2,12.96,14.4,499.7,400,0,96.8,-4.06,0.14,0.7,111115,,,
Initial,7-Oct,OP9     ,4,a                                     ,28.4,,38,12:34:53,5649.5,0.1,-63,2.97,2.92,2.3,1,4.46,26.08,25.27,26.02,420.18,406.55,1.851,3.214,5.36,9.31,499.7,399,1,98.18,-7.01,0.116,0.7,111115,,,
Final,10-Oct,OP9     ,4,a                                     ,30.7,,14,10:37:34,1366.5,0.116,-37.5,3.79,3.16,2.3,1,4.46,27.42,26.54,27.36,420.36,405.53,1.626,3.362,4.26,8.81,499.7,400,1,96.1,-8.78,0.194,1,111115,,,
Initial,16-Oct,OP9     ,10,b                                     ,21.3,,39,13:45:36,5260,0.0572,-200,1.92,3.29,2.3,1,4.46,27.07,26.28,27.05,419.82,409.63,0.559,1.443,1.53,3.95,499.7,400,1,98.24,-10.3,0.102,0.7,111115,OP9     ,,
Final,19-Oct,OP9     ,10,b                                     ,9.29,,15,14:12:31,1380.5,0.0252,-184,0.79,3.05,2.3,1,4.46,24.98,24.51,24.93,419.89,415.46,0.045,0.409,0.14,1.26,499.7,399,1,98.1,-8.9,0.105,0.7,111115,OP9     ,,
Final,19-Sep,OP9     ,13,c                                     ,15.7,,25,12:44:25,3685,0.0598,-42,2,3.22,2.3,1,4.46,28.03,27.12,27.96,399.74,392.16,3.001,3.92,7.65,9.99,499.7,399,0,96.92,0.428,0.0224,0.7,111115,,,
Final,19-Sep,OP9     ,13,c                                     ,13.1,,26,12:46:14,3794,0.0471,-63,1.61,3.28,2.3,1,4.46,28.06,27.31,28,399.76,393.46,3.01,3.749,7.66,9.54,499.7,400,0,96.92,0.428,0.0224,1,111115,,,
Initial,25-Sep,OP9     ,17,d                                     ,17.4,,48,14:41:00,6656.5,0.0583,-81.4,1.74,2.91,2.3,1,4.46,24.54,23.43,24.5,418.65,410.29,-0.986,-0.184,-3.11,-0.58,499.7,400,0,97.65,-3.24,0.122,0.7,111115,,,
Final,28-Sep,OP9     ,17,d                                     ,18.7,,22,14:46:52,2517,0.0409,-329,1.4,3.3,2.3,1,4.46,27.23,26.58,27.14,420.08,411.2,1.338,1.982,3.59,5.32,499.7,401,0,97.32,-5.96,0.0747,0.7,111115,,,
Initial,22-Oct,PI1   ,12,c                                     ,4.93,,44,14:37:05,3994,0.0182,-26,0.562,3.01,2.3,1,4.46,24.64,24.11,24.54,420.49,418.11,-0.192,0.067,-0.61,0.21,499.7,400,0,98.6,-9.36,0.0288,0.7,111115,PI      ,,
Initial,22-Sep,PI1     ,1,a                                     ,7.54,,33,13:52:29,3986.5,0.039,73,1.18,2.97,2.3,1,4.46,24.68,23.9,24.63,399.85,396.17,-0.525,0.019,-1.66,0.06,500.6,399,0,98.73,0.741,-0.0415,0.7,111115,,,
Final,25-Sep,PI1     ,1,a                                     ,9.07,,15,13:26:36,2193,0.0182,-384,0.677,3.57,2.3,1,4.46,27.85,27.34,27.79,418.93,414.63,0.506,0.818,1.32,2.12,499.7,400,1,97.74,-5.23,0.107,1,111115,,,
Initial,1-Oct,PI1     ,7,b                                     ,27.4,,40,14:30:59,3746,0.363,262,8.17,2.36,2.3,1,4.46,25.62,23.33,25.57,418.28,404.17,1.545,5.287,4.61,15.76,499.7,399,0,98.37,-6.88,0.141,0.3,111115,PI1     ,7,b                                     
